Gridpoint,X_m,Y_m,Z_m,X_disp_mm,Y_disp_mm,Z_disp_mm,XY_disp_mm,XYZ_disp_mm
19894,569951.2238,5209712.661,381,-0.000504382,-0.000720845,-0.001875164,0.000879783,0.002071294
19906,569948.9195,5209719.684,383.2,0.019418148,-0.016461534,0.002039037,0.025456759,0.02553829
19918,569953.7278,5209716.118,381.42,-0.000761539,-0.001088367,-0.001667995,0.001328339,0.002132297
19930,569951.4229,5209723.111,383.49,0.007491192,-0.006633007,2.58292E-06,0.010005735,0.010005735
19942,569956.2313,5209719.545,381.85,-0.000781448,-0.001116819,-0.000450048,0.001363065,0.00143544
19954,569953.927,5209726.568,383.79,0.008812662,-0.006048314,0.000182711,0.010688551,0.010690112
19966,569958.7347,5209722.972,382.27,-0.000669177,-0.000956366,0.00049917,0.001167234,0.00126949
19978,569956.4304,5209729.995,384.08,0.004964369,-0.003151868,-0.001205264,0.005880411,0.006002657
19990,569961.2388,5209726.429,382.7,-0.000712556,-0.001018361,0.001187921,0.001242898,0.001719289
20002,569958.9339,5209733.421,384.27,0.004448327,-0.003831273,-0.001483165,0.005870798,0.006055249
20014,569963.7422,5209729.855,383.06,-0.000473524,-0.000676744,0.001334244,0.000825959,0.001569208
20026,569961.4379,5209736.878,384.28,0.004360299,-0.003767861,-0.001056911,0.005762724,0.005858843
20038,569966.2457,5209733.282,383.29,-0.000348427,-0.000497961,0.001253428,0.000607755,0.001393
20050,569963.9414,5209740.305,384.29,0.004833328,-0.003713193,-0.000698889,0.006094987,0.006134925
20062,569968.7497,5209736.739,383.3,-7.89436E-05,-0.000112823,0.001123955,0.0001377,0.001132359
20074,569966.4449,5209743.732,384.3,0.004026311,-0.002818067,-0.000874737,0.004914538,0.004991778
20086,569971.2532,5209740.166,383.31,-3.38741E-20,-4.83976E-20,0.000964758,5.90744E-20,0.000964758
20098,569660.8938,5209334.916,370.92,0.000186526,-0.000130552,2.96075E-05,0.000227675,0.000229592
20110,569663.3972,5209338.343,370.87,0.000101305,-0.000203622,4.66582E-05,0.000227431,0.000232167
20122,569665.9007,5209341.77,370.82,1.8614E-05,-0.000263196,5.77501E-05,0.000263853,0.000270099
20134,569668.4047,5209345.227,370.77,-4.30301E-05,-0.000324613,0.000141068,0.000327452,0.000356546
20146,569670.9082,5209348.654,370.72,-0.000140544,-0.000395934,0.000105886,0.000420139,0.000433276
20158,569673.4117,5209352.08,370.71,-0.000217523,-0.000506477,0.000197408,0.000551212,0.000585495
20170,569675.9157,5209355.537,370.76,-0.000255635,-0.000621445,0.000232623,0.000671969,0.000711095
20182,569678.4192,5209358.964,370.8,-0.000274759,-0.000722003,0.000280776,0.000772516,0.000821959
20194,569680.9226,5209362.391,370.85,-0.000266274,-0.000822546,0.00030611,0.000864572,0.000917163
20206,569683.4267,5209365.848,370.9,-0.000238704,-0.000929879,0.000350548,0.000960029,0.001022027
20218,569685.9301,5209369.274,370.92,-0.000185236,-0.001007451,0.000390014,0.001024339,0.001096075
20230,569688.4336,5209372.701,370.95,-0.000110261,-0.001071625,0.000385617,0.001077283,0.00114422
20242,569690.9376,5209376.158,370.99,-2.62608E-05,-0.001139254,0.000432923,0.001139556,0.00121902
20254,569693.4411,5209379.585,371.03,6.87034E-05,-0.001167224,0.000473899,0.001169245,0.001261631
20266,569695.9446,5209383.012,371.07,0.000174795,-0.001172605,0.000495782,0.001185562,0.001285051
20278,569698.4486,5209386.469,371.1,0.00026881,-0.001145858,0.000539943,0.001176966,0.001294909
20290,569700.9521,5209389.895,371.14,0.000339764,-0.001093044,0.000566106,0.001144633,0.001276973
20302,569703.4555,5209393.322,371.16,0.00041703,-0.001035211,0.00060895,0.001116054,0.001271375
20314,569705.9596,5209396.779,371.18,0.000519558,-0.001015317,0.000639761,0.00114053,0.001307709
20326,569708.463,5209400.206,371.2,0.000607456,-0.000972544,0.000660238,0.001146667,0.001323163
20338,569710.9665,5209403.632,371.24,0.00068162,-0.000917657,0.0006665,0.00114311,0.001323224
20350,569713.4705,5209407.09,371.27,0.000744308,-0.000855171,0.000677775,0.001133716,0.001320867
